Heat Up;To make something warmer or cause a rise in temperature.;Isınma
Help Out;To assist people with something.;Yardım Edin
Hit On;To suddenly have a solution to a problem or an interesting idea.;Vurmak
Hold Against;When you don’t forgive or have little respect for someone because of something they did.;Karşı Tutun
Hold Off;To delay something.;Beklet
Hold On;When you wait for a short time.;Devam etmek
Hold Out;To extend your hand or an object in front of you.;Uzak dur
Hold Up;To hold someone or something up in the air.;Gecikmek
Hook Up;When you connect two electrical devices together.;İlişki kurmak
Hurry Up;To do something quickly.;Acele etmek
Keep At;To continue doing an activity even though it may be difficult.;Devam Et
Keep Away;To avoid getting close to someone or something.;Uzak durun
Keep Down;To make sound, music and noise minimal.;Sakin ol
Keep From;To stop yourself or other people from doing something.;Alıkoymak
Keep Off;To avoid discussing a particular subject or topic.;Kapalı Tutun
Keep On;To continue doing something.;Devam etmek
Keep To;When you don’t share information.;Devam Et
Keep Up;To continue to do something.;Sürdür
Kick Back;To illegally pay extra money to someone as part of the price.;Geri Tekme
Kick Out;To force someone to leave an organization or place.;Dışarı Çık
Knock Off;To use force to cause someone or something to fall from its place, whether intentionally or accidentally.;Bayıltmak
Knock Out;When someone is struck hard enough to cause them to lose consciousness.;Nakavt
Knock Over;To make contact with something or someone in such a way it or they fall.;Devrilmek
Know About;To have knowledge of or be familiar with something.;Hakkında Bilgi
Lay Down;To place something on a surface or an object.;Yatırmak
Lay Off;When a company or business ends a worker’s employment.;İşten çıkarmak
Lead Up To;When a period of time or a series of events cause an event, situation or conversation to happen.;Şuraya Kadar Öncülük Edin
Leave Behind;When you don’t take something or someone with you when you leave.;Arkada bırakmak
Leave Off;To accidentally or intentionally not include a person or thing on a list.;Vazgeçmek
Leave Out;To not include someone or something.;Dışarıda Bırak
Leave Over;When you have a portion that still remains from something after you have used or eaten the rest of it.;Bırak
Let Down;To disappoint someone.;Hayal ırıklığına uğratmak
Let In;To allow someone or something to enter a place.;Bırak girsin
Let Off;To allow someone to leave a car, bus, train etc.;Salmak
Let On;To tell something that is a secret or private.;Sezdirmek
Let Out;When you give permission for someone to leave or be released from a place.;Bırakın
Let Up;When someone or something becomes less intense or strong.;Sakinleşmek
Lie Around;To be lazy or to not do anything.;Yalan
Lift Up;To raise someone or something to a higher level.;Yukarı Kaldır
Light Up;To illuminate something.;Aydınlat
Lighten Up;When a conversation is changed or a person changes to become less serious.;Gevşemek
Line Up;To form in a row one after another or side-by-side.;Sıralanmak
Live With;To share the same residence.;Birlikte yaşamak
Lock In;To secure people or things behind a closed door.;İçeri kilitlemek
Lock Out;When you don’t have the key or passcode to enter a secured place.;Kilitleme
Lock Up;When you shut the windows and doors of a place or building.;Kilitlemek
Look Around;To turn your head to see what or who is around you.;Etrafa bak
Look At;To divert your eyes to someone or something.;Bakmak
Look Down On;When you consider someone or something as unimportant or with little to no value. The opposite of yesterday’s phrasal verb.;Tepeden bakmak
Look Forward To;To anticipate a future event because it either makes you happy and/or you benefit from it.;Dört gözle beklemek
Look Into;To investigate or get more facts about something.;İçine bak
Look Out;To remain alert.;Dikkat
Look Over;To examine or inspect something or someone.;Gözden geçir
Look Up;When a situation becomes better.;Bakmak
Look Up To;This particular phrasal verb is used to say you view someone with respect and/or admiration.;Şuna Bak:
Luck Out;To have exceptionally good luck.;Şans Çıkışı
Make For;To go in a certain direction, typically in a hurry.;İçin yapmak
Make Of;To understand the meaning of something.;Yapmak
Make Up;To invent a story.;Makyaj yapmak
Mess Up;When something is dirty or unorganized.;Ortalığı karıştır
Mix Up;To put or combine different things together so they’ll merge successfully.;Karıştır
Monkey Around With;To try to play with or repair a device that you have no true knowledge about.;Karıştırmak
Move In;When you bring your personal belongings and stuff to a new place where you will live. Yesterday’s phrasal verb, Move Out, has the opposite meaning.;Taşınmak
Move Out;When you permanently remove all your belongings and personal items from a place where you live or stay.;Taşın
Narrow Down;To reduce the number of options or possibilities.;Daraltmak
Pay Back;When you return money that you owe someone.;Geri ödeme
Pay For;To purchase merchandise.;Ödemek
Pay Off;To repay money that is owed to a person or entity.;Hesabı kapatmak
Pay Up;To pay all the money that is owed or asked for.;Tamamen ödemek
Pick On;To tease and/or criticize someone over a period of time.;Seç
Pick Out;When you are able to recognize something or someone from a group.;Seç
Pick Up;To get someone or something from somewhere.;Toplamak
Pile Up;To put things in a pile or heap.;Yığmak
Piss Off;[Informal] To be angry about something.;işemek
Plan Ahead;To prepare for a future event or situation.;Önceden planlamak
Plan For;To prepare for a big event or expectation in the future.;Planla
Plan On;When you have the intention to do something.;Plan üzerinde
Plug In;To connect an electrical device to an electrical outlet.;Eklenti
Plug In/Into;To connect an electrical appliance/machine to another piece of equipment or to a power source.;Tak/Gir
Plug Up;To block a narrow passage such as a hole, drain, or pipe so that nothing can flow through.;Tıkamak
Point Out;To make someone aware of something.;İşaret etmek
Point To;When you aim at something or someone using your finger or hand.;Odaklan
Print Out;To produce a hard copy of a computer document.;Çıktı
Pull Off;To succeed in doing something difficult or tricky.;Çekme
Pull Out;When something or someone leaves a place.;Çıkarmak
Pull Over;To drive your vehicle to the side of the road to stop.;Kenara çekmek
Pull Through;To recover from an injury or illness.;İçeri Çek
Punch In;To enter data or record time on a device.;Yumrukla
Punch Out;To record the time you leave the workplace using a special clock.;Yumrukla
Put Away;To place something where it cannot be seen or isn’t in the way of other things.;Bırakmak
Put Back;When something is causing a project to slow down.;Geri koy
Put Down;To place something on a surface or an object.;Aşağı koy
Put In;When you invest or make a deposit. In this example, the amount almost always separates the verb.;Yerleştir
Put Off;To become offended by someone or something.;Ertelemek
Put Out;To extend a part of your body.;Söndürmek
Put Past;To not be surprised by a person’s actions. [Always used with the negative];Geçmişe koy
Put To;To cause someone or something to be in a certain state or to do something extra.;Sunmak
Put Together;To assemble or connect the parts of something.;Bir araya getir
Put Up;To move an object to a higher level.;Çıkarmak
Put Up To;To encourage or persuade someone to do something.;Kadar koy
Put Up With;To tolerate or accept something that you’d rather not.;katlanmak
Ring Up;To call someone on the phone.;Telefon etmek
Rip Off;When someone asks for a price for something that is too high, when someone cheats or steals.;Kazık atmak
Rip Up;To tear something (i.e. paper, cloth, etc.) into pieces.;Yırtmak
Rule Out;When someone or something is excluded as a possibility.;Kural dışı
Run Across;To move or run from one side to the other.;Karşıdan karşıya koş
Run Around;To go from one place to another in a hurry.;Etrafında koşmak
Run Down;To hit someone or something with a vehicle.;Bitkin
Run Into;When something collides with another object by accident.;Karşılaşmak
Run Out;When people exit a place very quickly. Run In/ Run Into is the opposite of this meaning.;Dışarı koşmak
Run Over;When someone is injured or killed by a vehicle.;Koşmak
Run Up;To run from a lower elevation or level to a higher elevation or level.;Çalıştır
Screw On;To ensure the top of a container/bottle is sealed.;Vidalama
Screw Out Of;To cheat or deceive someone.;Vidalamak
Screw Up;To make a mistake or do something really bad.;vidala
See About;To seriously think about doing something.;Hakkında bkz
Sell Out;When all the inventory of a particular product has been purchased.;Satıldı
Set Up;To organize or plan for an activity/event to happen.;Kurmak
Settle Down;To begin living a stable and routine life.;Durulmak
Settle For;To accept something even though it’s not what you want or need.;Kabullenmek
Shake Up;To mix something in a container by shaking it.;Salla
Show Off;To overly display your skills or what you have.;Hava atmak
Shut Off;To stop the operation of an electrical or mechanical device.;Kapat
Shut Up;To stop talking.;Kapa çeneni
Sign In;To write your name on a list to indicate the day and time you arrived at a certain place.;Kayıt olmak
Sign Out;To write your name on a list to indicate the day and time of your departure.;Oturumu Kapat
Sit Down;To change from a standing to a sitting position.;Oturmak
Slow Down;To do something slower.;Yavaşla
Sneak In/Into;To enter a place quietly to avoid being seen or heard.;Gizlice İçeri Girmek/İçine Girmek
Sneak Out;To leave a place without being noticed.;Gizlice
Sort Out;To arrange or separate things into groups according to similarities.;Problemi çözmek
Space Out;When someone’s attention is not in the present moment. [Adj.] {spaced out} To describe a person whose attention isn’t in the present moment.;Boşluk bırakmak
Stand Around;To stand in one place or area when you should be doing something.;Etrafında dur
Stand For;To support or represent an idea, belief, etc.;Standı
Stand Up;To rise from sitting or lying down to a vertical position.;Ayağa kalk
Start Off;The beginning of an event, activity or time period.;Kapalı Başlat
Start Out;To begin a trip or venture to some place.;İşe koyulmak
Start Up;To start something.;Başlatmak
Stay Off;To avoid discussing a certain subject or topic.;Kapalı kalmak
Stay Out;To spend time out of your own home.;Uzak dur
Stay Up;To remain in a place that is higher than ground level.;Uyanık kalmak
Step On;To place your foot on something or someone.;Basmak
Stick Around;To stay in a place or with someone for any period of time.;Etrafta dolanmak
Stick Out;To extend something outward.;Dışarı çık
Stick To;When something is attached to another by some form of adhesive.;Bağlı kal
Stick Up;To use a weapon, especially a gun, to rob someone.;Soymak
Stick With;To continue to use or do something.;Bağlı kal
Stop Off;To make a quick stop on your way to a destination.;Mola
Stop Over;To visit someone for a short period of time.;Durdur
Straighten Out;To make something straight.;Düzeltmek
Stress Out;To feel very worried, nervous or anxious.;Strese girmek
Switch Off;When you move something from the ‘on’ state to the ‘off’ state. Synonymous with “Turn Off.” Yesterday’s “Switch On” is the opposite.;Kapatmak
Switch On;When you move something from the ‘off’ state to the ‘on’ state. Synonymous with “Turn On,” while “Switch Off” is the opposite.;Açmak
Take Apart;To disconnect or separate the parts of an object.;Koparmak
Take Back;To return something or someone.;Geri al
Take In;To be successfully tricked or deceived by someone.;İçeri Al
Take Out;To remove an object from an area, place or container.;Çıkarmak
Take Out On;To direct your anger towards someone or something when you’re really upset about someone or something else.;Çıkış Tarihi
Take Up On;When you accept an invitation or offer from someone.;Başlamak
Talk Down To;To talk to someone as if they are less intelligent than you by conveying a tone of voice or attitude that says so.;Aşağıya Konuş
Talk Into;To convince someone to do something.;İçine Konuş
Talk Out Of;To convince someone not to do something.;Dışarda Konuşmak
Talk To;To have a conversation with someone.;Konusmak
Tear Down;To deconstruct a building or home.;Sökmek
Tear Off;To remove with force.;Sıyırmak
Tell Apart;To be able to differentiate something or someone from something or someone else.;Ayırt etmek
Tell On;To inform an authoritative figure about what someone else did.;Anlat
Think About;To consider something prior to making a final decision.;Hakkında düşün
Think Ahead;To think and plan carefully for a future situation or event.;İleriyi düşün
Think Up;To use your imagination to create a plan, idea, or a solution.;Tasarlamak
Throw Away;To dispose of something you no longer find useful in a waste bin, trash, etc.;Atmak
Throw Out;When you get rid of something by putting it in a trash can, bin, etc.;Fırlat
Throw Up;To vomit or puke.;Kusmak
Track Down;To locate someone or something after a long search;Takip Etme
Trade In;To exchange something old for something new.;Takas
Trick Into;To convince or persuade someone to believe something untrue or to do something for you.;Hile Yapmak
Try On;To see how something fits or looks before purchasing.;Deneyin
Try Out;To show that you are qualified to do something.;Denemek
Turn Around;When someone or something moves until it faces the opposite direction.;Arkanı dön
Turn Down;To decrease the temperature, sound, etc.;Kısmak
Turn In;To give someone or something to the police or someone of authority.;Teslim Et
Turn Into;To transform.;Dönüşmek
Turn Off;To stop a device from functioning.;Kapamak
Turn On;To cause someone to feel interested and/or attracted.;Aç
Turn Out;To attend an event, meeting, etc.;Boşaltmak
Turn Over;To move an object so that the part that is on top becomes the bottom and vice versa.;Devir
Turn Up;To increase the controls of an electronic or mechanical device.;Açmak
Use Up;To completely consume or use all of a supply.;Kullanıldı
Wake Up;When you are finished sleeping.;Uyanmak
Wash Off;To remove dirt or unwanted markings with soap and water.;Yıkayıp temizlemek
Wash Up;To clean your face, hands, body, etc.;Yıkama
Watch Out;To be aware of someone or something.;Dikkat
Wear Down;To make the surface or top of something disappear due to friction.;Yıpratmak
Wear Off;To decrease or disappear gradually.;Aşınmak
Wear Out;When something is damaged or weakened from use and age.;Aşınma
Wind Up;To operate a mechanical device by turning its handle.;Rüzgar
Wipe Off;To completely remove or clean something from a surface or location.;Silmek
Wipe Out;To clean the inside of something.;Silip yoketmek
Wipe Up;To remove liquid from a surface using a sponge, towel or cloth, etc.;Silmek
Work In;To make time in a busy schedule for a person or an activity.;Sokuşturmak
Work Out;When a situation, event, plan, or idea is successful.;Antrenman yapmak
Work Up;To gradually improve at or make progress in something.;Çalışmak
Wrap Up;To cover something with some kind of special paper.;Sarmak
Zip Up;To close an item that has a zipper.;Fermuarlamak
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
